Sub-framework,Group,Order,Trial #,Motion,Position,Length class,Target word,Foil 1,Foil 2,Foil 3,Carrier sentence
Group A — Order 1,A,1,1,Vibration Horizontal,Shortest,Short,blet,blut,bzet,clem,proma snorvin torpline frumpalin blet muvel snibralfo
Group A — Order 1,A,1,2,Flicker Vertical,Penultimate,Medium-Long,clorkif,clirkif,clorwif,klorkih,drenvolak raxon jorpi klemo grotame clorkif yelka
Group A — Order 1,A,1,3,Vibration Vertical,Second,Medium-Long,frosken,fresken,fdosken,lroskes,snari frosken frem klendrip geb bap dozor
Group A — Order 1,A,1,4,Highlight Vertical (redesigned),Longest,Long,stravoken,straviken,stnavoken,jtravokel,vupop vost stravoken besar tordum trampez lurin
Group A — Order 1,A,1,5,Dynamic RSVP Vertical,Shortest,Short,fim,fom,fam,til,krazipond plomstrik narum fim klivnar kelan blufrad
Group A — Order 1,A,1,6,Flicker Horizontal,Second,Medium-Long,blufint,blifint,blurint,vlufinz,fentag blufint vipt wem trompasel yul snurbit
Group A — Order 1,A,1,7,RSVP Flicker,Longest,Long,blufentir,blefentir,blukentir,vlufentig,drip plog blivu blufentir dralek vad kivaner
Group A — Order 1,A,1,8,Static RSVP,Penultimate,Medium-Long,zimols,zumols,zimovs,gimoll,tof fendo trun jix zop zimols rul
Group A — Order 1,A,1,9,Dynamic RSVP Horizontal,Longest,Long,vrodaknel,vrodaknul,vrodabnel,frodaknem,trovi nux blufint torpe vrodaknel snel clorkif
Group A — Order 1,A,1,10,Highlight Horizontal (redesigned),Penultimate,Medium-Long,pretak,pretek,pjetak,zretam,rals kosh kep voth sertu pretak gronvelka
Group A — Order 1,A,1,11,Static,Second,Medium-Long,sparvon,sparven,spapvon,jparvol,zimols sparvon stravoken blet krun blufentir vrodaknel
Group A — Order 2,A,2,1,Highlight Vertical (redesigned),Longest,Long,stravoken,straviken,stnavoken,jtravokel,trampez blufrad torpe fim stravoken yelka krun
Group A — Order 2,A,2,2,Flicker Horizontal,Second,Medium-Long,blufint,blifint,blurint,vlufinz,muvel blufint kep rul proma sertu tof
Group A — Order 2,A,2,3,Static RSVP,Penultimate,Medium-Long,zimols,zumols,zimovs,gimoll,rals vupop dozor snari voth zimols krazipond
Group A — Order 2,A,2,4,RSVP Flicker,Longest,Long,blufentir,blefentir,blukentir,vlufentig,grotame snurbit blufentir trovi drip vipt snel
Group A — Order 2,A,2,5,Vibration Vertical,Second,Medium-Long,frosken,fresken,fdosken,lroskes,blivu frosken kelan blet fentag jorpi vad
Group A — Order 2,A,2,6,Dynamic RSVP Horizontal,Longest,Long,vrodaknel,vrodaknul,vrodabnel,frodaknem,yul tordum snorvin narum vrodaknel besar wem
Group A — Order 2,A,2,7,Static,Second,Medium-Long,sparvon,sparven,spapvon,jparvol,jix sparvon fendo dralek klemo plomstrik snibralfo
Group A — Order 2,A,2,8,Dynamic RSVP Vertical,Shortest,Short,frem,frim,fcem,pred,raxon drenvolak frem lurin kivaner torpline frumpalin
Group A — Order 2,A,2,9,Flicker Vertical,Penultimate,Medium-Long,clorkif,clirkif,clorwif,klorkih,trompasel nux klivnar gronvelka zop clorkif geb
Group A — Order 2,A,2,10,Vibration Horizontal,Shortest,Short,vost,vust,vebt,fesp,sparvon frosken muvel vost klendrip zimols clorkif
Group A — Order 2,A,2,11,Highlight Horizontal (redesigned),Penultimate,Medium-Long,pretak,pretek,pjetak,zretam,bap plog trun kosh frosken pretak fim
Group A — Order 3,A,3,1,Dynamic RSVP Vertical,Shortest,Short,rul,rel,ral,cuf,trampez besar frumpalin lurin rul grotame snibralfo
Group A — Order 3,A,3,2,Static RSVP,Penultimate,Medium-Long,zimols,zumols,zimovs,gimoll,blufrad snari yul vost frem zimols snel
Group A — Order 3,A,3,3,Highlight Vertical (redesigned),Longest,Long,stravoken,straviken,stnavoken,jtravokel,tof jix stravoken dralek fentag wem fim
Group A — Order 3,A,3,4,Flicker Vertical,Penultimate,Medium-Long,clorkif,clirkif,clorwif,klorkih,trovi fendo bap zop snurbit clorkif sertu
Group A — Order 3,A,3,5,Flicker Horizontal,Second,Medium-Long,blufint,blifint,blurint,vlufinz,kivaner blufint vad tordum gronvelka geb drenvolak
Group A — Order 3,A,3,6,RSVP Flicker,Longest,Long,blufentir,blefentir,blukentir,vlufentig,snorvin narum klivnar blufentir krun nux kelan
Group A — Order 3,A,3,7,Highlight Horizontal (redesigned),Penultimate,Medium-Long,pretak,pretek,pjetak,zretam,krazipond kep blivu dozor kosh pretak plomstrik
Group A — Order 3,A,3,8,Vibration Vertical,Second,Medium-Long,frosken,fresken,fdosken,lroskes,raxon frosken vipt klemo voth torpe rals
Group A — Order 3,A,3,9,Vibration Horizontal,Shortest,Short,drip,drap,dtip,jriv,blufentir jorpi drip trompasel yelka klendrip torpline
Group A — Order 3,A,3,10,Dynamic RSVP Horizontal,Longest,Long,vrodaknel,vrodaknul,vrodabnel,frodaknem,blufint blet pretak vrodaknel trun proma vupop
Group A — Order 3,A,3,11,Static,Second,Medium-Long,sparvon,sparven,spapvon,jparvol,pretak sparvon stravoken muvel plog frem vrodaknel
Group B — Order 1,B,1,1,Vibration Horizontal,Second,Medium-Short,vupop,vupip,vuwop,gupoj,blufint vupop clorkif sparvon zimols rul frosken
Group B — Order 1,B,1,2,Vibration Vertical,Penultimate,Medium-Short,fendo,findo,feddo,tendi,pretak snorvin stravoken vost blufentir fendo vrodaknel
Group B — Order 1,B,1,3,Dynamic RSVP Vertical,Second,Medium-Short,kelan,kelin,kekan,delad,drenvolak kelan jorpi tof klivnar blet dralek
Group B — Order 1,B,1,4,RSVP Flicker,Shortest,Short,drip,drap,dtip,jriv,trampez snurbit grotame snari drip yelka krazipond
Group B — Order 1,B,1,5,Flicker Horizontal,Penultimate,Medium-Short,blivu,blavu,bkivu,flivi,nux sertu voth raxon bap blivu blufrad
Group B — Order 1,B,1,6,Dynamic RSVP Horizontal,Shortest,Short,vipt,vopt,vint,dipb,trovi dozor gronvelka vipt snibralfo kivaner plomstrik
